name,pop2019,deathrate(per/1000)
Colombia,50339.443,5.606
Bangladesh,163046.161,5.545
Peru,32510.453,5.539
Paraguay,7044.636,5.527
Kenya,52573.973,5.483
Turkey,83429.615,5.444
Israel,8519.377,5.328
Guam,167.294,5.249
Samoa,197.097,5.236
Vanuatu,299.882,5.236
Rwanda,12626.95,5.235
Syria,17070.135,5.232
Malaysia,31949.777,5.139
Costa Rica,5047.561,5.122
Ecuador,17373.662,5.121
Libya,6777.452,5.1
Panama,4246.439,5.098
Nicaragua,6545.502,5.077
Morocco,36471.769,5.072
Western Sahara,582.463,4.936
Iran,82913.906,4.866
Tajikistan,9321.018,4.836
Sao Tome and Principe,215.056,4.819
Iraq,39309.783,4.773
Belize,390.353,4.744
Guatemala,17581.472,4.741
Algeria,43053.054,4.723
Singapore,5804.337,4.6
Brunei,433.285,4.513
Honduras,9746.117,4.453
Lebanon,6855.713,4.419
Solomon Islands,669.823,4.255
Macau,640.445,4.002
Jordan,10101.694,3.887
Saudi Arabia,34268.528,3.513
Palestine,4981.42,3.462
French Guiana,290.832,2.956
Maldives,530.953,2.821
Kuwait,4207.083,2.787
Mayotte,266.15,2.71
Oman,4974.986,2.446
Bahrain,1641.172,2.416
United Arab Emirates,9770.529,1.519
Qatar,2832.067,1.244
Andorra,NaN,7.4
Faroe Islands,NaN,8.8
Liechtenstein,NaN,7.6
Monaco,NaN,10.1
North Macedonia,NaN,10.017
San Marino,NaN,8.8
